ID;CIRCUIT;JOINT_E;JOINT_S;TOURNEE;POINTS;STAMP
2853;1856;2001;2356;2021_14878;*10-1537-24-1564-38-1588-68-1660-99-1640-129-1663-159-1577-188-1588-218-1579-248-1686-278-1698-308-1906-338-1906-368-2119-398-2043-428-2097-458-1922-488-1880-518-1762-548-1794-578-1788-607-1944-637-2003-667-2268-697-2308-727-2560-757-2452-787-2453-817-2181-847-2125-878-1964-890-1976-902-1987;17708050
2854;1857;2357;1971;2021_15304;*16-1932-36-1894-56-1768-94-1979-133-2016-152-2224-*171-2504-174-2391-*178-2355-184-2396-*191-2500-193-2243-*196-2053-199-2071-*203-1978-205-1962-*208-2025-209-2158-*211-2426-213-2505-215-2549-219-2301-*223-2432-225-2244-*228-2046-230-2184-*232-2404-234-2367-*236-2437-239-2265-*242-1946-246-2259-*250-2441-273-2781-296-2662-313-2669-330-2657;17711751
2855;1858;2036;1712;2018_12_18 - M2VAL_PLY_181218009;*10-2651-25-2666-40-2527-67-2490-95-1908-97-2065-*100-1961-103-1471-*106-1084-113-1730-*120-1657-125-1878-*130-1935-133-1595-*136-1745-143-1879-151-1642-156-1907-*162-1657-184-2592-206-2681-234-3102-263-3241-290-3294-317-3072-330-3047-343-2978;737076
2856;1860;1889;1628;2018_03_29 - J2ARR_PLD_290318386;*10-2872-25-2925-40-2895-68-2778-96-2357-101-1941-*106-1210-110-1786-*115-2006-124-1875-*134-1616-136-1727-*139-1978-143-1967-*148-2118-150-1849-152-1642-163-1905-*174-2391-191-2458-208-2375-236-2557-264-2559-292-2751-321-2834-333-2884-346-3062;736793
2857;1861;1597;1600;2018_03_29 - J2ARR_PLD_290318386;*10-2736-25-2603-40-2541-68-2362-97-1728-101-1596-*105-939-111-1557-*117-1921-120-1764-*124-1589-135-1695-*146-1981-150-1674-155-1574-165-1836-*175-2449-193-2619-211-2692-239-3119-267-3320-294-3554-321-3114-332-3052-343-3056;736793
2858;1862;2359;1988;2021_15071;*3-1570-9-1737-*16-2021-21-2278-*27-1495-32-1795-*37-1875-43-2219-*50-1774-54-1789-*59-2093-63-2223-*67-1732-73-1783-*79-1261-83-1368-*87-1825-90-1492-*93-1801-100-2379-108-2451-135-2869-163-2812-179-2811-195-2918;17709563
2859;1862;2360;1988;2011_08_10 - W2VPD_PLD_100811184  M1;*17-2406-32-2512-47-2535-68-2568-*89-2664-91-2098-*94-1401-96-1512-98-1674-105-1845-*113-2262-115-1947-*118-1543-127-1934-*136-2319-139-2073-*143-1814-146-1928-149-2074-151-2184-*153-2311-155-2130-*158-1949-161-1912-*165-2089-168-1821-*171-1562-177-1876-*184-1823-191-2281-*198-2288-202-2373-206-2485-233-2863-261-2870-273-2861-286-2906;0
2860;1863;1620;2361;2018_03_29 - J2ARR_PLD_290318386;*10-2248-25-2268-40-2350-70-2343-100-1892-107-1290-*115-2126-117-1932-*120-1623-124-1881-*129-1606-134-1786-*140-1921-143-2089-*147-1820-154-1811-161-2003-191-2767-222-2639-252-2599-283-2307-313-2203-344-2040-374-2073-405-2047-435-2276-466-2425-496-2879-526-3179-557-3598-588-3242-601-3236-614-3079;736793
2861;1864;1455;2362;2018_03_29 - J2ARR_PLD_290318386;*10-2436-25-2503-40-2576-69-2593-*98-2174-102-1470-107-1573-112-1852-*117-2349-119-2203-*122-1947-133-2158-*145-2542-150-2279-*155-2048-164-2554-174-3133-207-3543-241-3108-253-3054-265-3094;736793
2862;1865;1699;1703;2018_12_18 - M2MAR_MAC_181218007;*9-2679-29-2631-50-2250-71-2188-*93-1633-98-1734-*104-1007-110-1369-*117-1361-124-1525-*131-1431-135-1374-140-1598-143-1619-*146-1347-152-1516-*159-1424-191-2240-224-2250-268-3320-312-3055-329-2976-346-2891;737066
2863;1866;1831;1579;2018_04_14 - SNLOI_PLD_140418404;*10-2835-29-2650-49-2345-72-2221-*95-1716-99-1973-*103-933-110-1395-*118-1769-120-1738-*122-1479-130-1506-138-1541-145-1775-*153-1487-164-1749-*175-2308-200-2478-226-2512-268-3490-310-3266-327-3110-345-3011;736808
2864;1867;1957;1657;2018_03_28 - W2BRX_OIG_280318380;*10-2706-30-2575-50-2342-72-2266-*94-1793-97-2012-*100-1164-110-1383-*121-1903-125-1765-*129-1434-134-1533-140-1723-143-1539-*147-1510-160-1742-*173-2348-200-2529-227-2556-269-3270-311-2953-327-3002-343-2934;736800
2865;1869;2361;2365;2018_03_29 - J2ARR_PLD_290318386;*16-2336-36-2688-57-2774-66-2888-*76-3117-79-3108-*83-2646-89-2762-*95-3042-99-2485-*103-1555-111-2358-*119-2711-125-2860-*131-2795-135-2982-140-3036-143-2715-*146-2358-154-2593-*162-2867-164-2990-*167-2515-173-2524-*179-2921-183-2953-*187-2971-190-2570-*194-2011-201-2425-*209-2840-212-2558-*216-1849-220-2016-224-2230-241-2698-258-2787;736793
2866;1918;2421;1332;2012_03_10 - VNCLV_MAC_9031203  M1;*10-1231-40-1161-70-1090-120-1195-171-1224-221-1545-272-1804-321-2130-371-1809-420-1585-470-1286-520-1281-571-1223-621-1443-672-1666-697-2011-723-2427;0
2867;1918;1332;2421;2010_05_04 - M3BRG_MAS_40510406  M1;*15-1100-44-1111-73-1085-123-1282-173-1393-223-1730-274-1744-323-1702-373-1379-422-1311-472-1174-522-1291-572-1360-623-1792-674-2138-701-2372-728-2423;0
2868;1919;706;1522;2018_10_01 - L1PLY_NMS_11018775;*10-862-29-888-49-899-101-1109-153-1272-202-1453-252-1308-302-1153-352-945-402-902-452-831-502-893-552-923-602-1139-652-1376-669-1497-687-1633;737061
2869;1920;716;1334;2018_07_09 - L2PLY_MOR_90718584;*10-716-39-769-69-735-119-881-169-839-219-959-269-843-319-875-369-786-419-892-469-883-518-1063-568-1077-618-1120-668-948-718-978-768-872-818-1007-868-1025-892-1162-917-1256;736913
2870;1921;719;1523;2012_03_10 - VNCLV_MAC_9031203  M1;*11-1077-32-1082-54-1044-104-1420-154-1584-198-1849-*242-1479-248-1353-254-808-262-1034-*271-1148-276-1197-*281-909-292-1108-*304-989-314-1080-*324-787-333-889-*343-938-348-982-354-1076-404-1489-454-1724-502-2193-551-1857-586-1778-*621-1301-628-1365-*636-612-645-1129-655-899-664-1274-*674-1029-685-1305-*696-1106-725-1541-755-1661-771-1863-788-2119;0
2871;1922;729;1341;2012_03_10 - VNCLV_MAC_9031203  M1;*10-1000-43-966-77-886-127-1044-177-1037-227-1212-277-1215-327-1243-377-1012-427-1131-478-1074-528-1412-578-1483-628-1605-679-1253-729-1268-779-1115-829-1402-879-1550-929-2099-979-1751-1029-1566-1079-1217-1129-1364-1179-1421-1207-1772-1236-2222;0
2872;1922;1341;729;2019_01_11 - V1MAR_PLD_110119043;*15-1074-46-1092-78-1020-127-1195-177-1116-227-1266-278-1112-328-1231-378-1116-427-1324-477-1250-527-1494-577-1391-627-1468-678-1258-728-1398-778-1323-828-1615-878-1588-928-1894-978-1576-1028-1541-1078-1459-1128-1690-1179-1661-1210-1935-1241-2134;737087
2873;1923;741;1342;2018_12_03 - L1PLY_NMS_31218954;*10-1142-39-1201-69-1192-119-1602-169-1878-219-1758-269-1405-319-1289-369-1147-419-1251-469-1409-495-1725-521-2098;737062
2874;1924;740;1438;2020_13982;*10-1366-31-1373-52-1321-102-1677-152-1582-202-1616-253-1347-302-1481-352-1374-402-1696-452-1784-502-2068-552-1708-602-1741-652-1492-702-1714-752-1714-767-1900-783-2078;17698814
2875;1924;1438;740;2018_07_10 - M2MAR_PLY_100718587;*15-1384-33-1375-51-1310-101-1535-151-1371-201-1454-251-1262-301-1470-351-1426-401-1768-451-1664-500-1766-550-1455-600-1584-651-1484-701-1894-751-1946-769-2087-788-2154;736914
2876;1925;743;1357;2012_03_10 - VNCLV_MAC_9031203  M1;*11-1901-49-1848-88-1887-136-1765-184-1461-194-1479-*205-1463-209-1400-*213-878-224-1066-*235-1236-240-1223-*245-965-252-1137-*259-1204-263-1291-*268-1043-282-1008-297-1053-353-1588-410-1794-435-2111-460-2358;0
2877;1926;1439;1364;2018_10_01 - L1PLY_NMS_11018775;*10-1217-33-1201-57-1078-107-1124-157-1029-207-1189-257-1199-306-1454-356-1401-406-1418-456-1170-508-1221-561-1131-608-1203-656-1252-706-1638-756-1710-806-1611-856-1266-906-1249-956-1141-1006-1333-1056-1499-1076-1695-1097-2170;737061
2878;1927;747;1270;2012_03_10 - VNCLV_MAC_9031203  M1;*10-1006-33-991-56-922-107-993-159-968-209-1121-259-1158-309-1278-359-1205-409-1193-459-1065-509-1080-559-1016-609-1142-659-1179-708-1438-758-1486-808-1550-859-1318-909-1286-959-1156-1009-1232-1059-1231-1109-1479-1159-1605-1209-2017-1259-1862-1309-1709-1359-1229-1409-1373-1459-1267-1509-1428-1559-1543-1586-1821-1614-2120;0
2879;1927;1270;747;2010_10_18 - L3PVL_MTC_181010351  M1;*2-856-34-878-66-879-116-1009-166-1041-215-1078-265-900-315-1023-365-904-415-965-465-909-514-1075-564-1133-614-1304-664-1284-713-1290-763-1115-813-1098-864-998-913-1064-963-1068-1013-1309-1063-1444-1113-1695-1163-1569-1212-1433-1262-1186-1312-1165-1362-1093-1412-1259-1462-1365-1512-1930-1562-2250-1582-2358-1603-2331;0
2880;1928;749;2422;2010_05_03 - L3PLY_PVL_30510382  M2;*10-1968-38-1663-67-1418-117-1419-167-1336-217-1619-268-1696-318-1969-368-1762-391-1707-414-1567;0
2881;1929;1440;756;2018_12_18 - M2MAR_MAC_181218007;*10-942-36-965-63-920-116-1052-169-1086-219-1220-269-1178-318-1210-368-1071-418-1086-468-1021-518-1106-568-1118-617-1300-667-1346-717-1498-767-1377-817-1315-867-1147-916-1174-966-1125-1016-1279-1066-1387-1116-1740-1166-1752-1215-1722-1265-1400-1315-1360-1365-1196-1415-1321-1465-1372-1514-1722-1563-1915-1588-2190-1613-2310;737066
2882;1930;771;504;2018_10_01 - L1PLY_NMS_11018775;*10-1676-44-1490-78-1276-129-1185-180-1062-230-1136-280-1171-330-1430-380-1729-409-2128-439-2474;737061
2883;1931;1273;774;2018_07_10 - M2MAR_PLY_100718587;*15-1215-44-1268-73-1226-124-1517-176-1704-203-1983-231-2083;736914
2884;1932;797;1274;2021_15239;*10-836-36-844-62-866-112-1053-163-1225-213-1444-263-1352-313-1207-363-986-413-919-463-826-513-866-563-882-612-1047-662-1235-686-1434-711-1599;17711121
2885;1932;1274;797;2021_14878;*15-910-40-947-65-976-114-1202-164-1263-213-1244-263-1024-313-929-363-799-412-801-462-776-512-880-562-979-612-1296-662-1567-687-1682-712-1725;17708050
2886;1933;1367;798;2018_12_18 - M2VAL_PLY_181218009;*15-749-37-774-60-792-109-1035-158-1193-179-1191-200-1223;737076
2887;1934;804;1100;2018_10_01 - L1PLY_NMS_11018775;*10-738-46-804-83-739-133-824-184-809-234-971-284-1012-333-1120-383-951-433-970-484-860-534-904-584-929-616-1087-648-1199;737061
2888;1935;1368;806;2010_05_04 - M3MAR_MAC_40510396  M1;*15-701-49-760-83-775-133-968-184-1013-234-1036-284-849-333-805-383-708-433-760-484-779-535-996-586-1156-618-1354-650-1348;0
2889;1936;825;1369;2010_06_14 - L2TNR_NMS_140610553  M1;*10-955-51-916-92-812-142-910-192-922-228-1101-264-1255;0
2890;1937;1030;827;2010_05_04 - M3MAR_MAC_40510396  M1;*15-689-51-736-88-702-138-908-188-903-238-969-288-774-338-815-388-732-438-925-488-981-538-1234-588-1039-638-985-688-806-738-928-788-943-824-1242-861-1538;0
2891;1938;830;1378;2018_12_04 - M1MAC_BRG_41218960;*10-864-37-835-65-769-115-824-165-769-215-879-265-859-315-990-365-948-415-1019-465-902-515-971-565-912-615-1050-665-1030-715-1192-765-1143-815-1178-865-1006-915-1074-965-1022-1015-1123-1065-1039-1089-1176-1114-1319;737076
2892;1939;1388;833;2010_05_04 - M3MAR_MAC_40510396  M1;*15-695-55-753-95-725-145-738-196-621-246-631-296-581-346-657-396-597-446-809-496-874-546-970-597-833-646-782-696-663-746-700-796-692-847-855-899-958-937-1210-976-1246;0
2893;1940;839;1432;2012_03_10 - VNCLV_MAC_9031203  M1;*10-885-30-843-50-794-101-849-152-865-202-1070-252-1235-267-1337-283-1439;0
2894;1940;1432;839;2018_11_01 - JBDIJ_BEU_11118875;*15-769-33-775-52-741-101-854-151-918-200-1180-250-1300-269-1340-289-1361;737019
2895;1941;852;1415;2017_11_02 - JBDIJ_BEU_21117010;*10-875-51-855-93-745-142-793-192-750-242-933-293-1031-342-1208-392-1020-442-969-492-806-542-874-592-868-629-1047-666-1221;736647
2896;1942;1393;853;2018_07_10 - M2MAR_PLY_100718587;*15-909-41-926-68-869-118-1045-168-945-218-999-268-856-318-951-368-898-418-1121-468-1120-518-1265-568-1047-618-1065-668-929-718-1142-768-1226-797-1461-826-1626;736914
2897;1943;856;1085;2018_01_22 - L2PLY_NMS_220118205;*10-814-52-933-95-1018-146-1299-198-1370-248-1265-298-1014-348-917-398-801-448-814-499-813-549-949-600-1097-637-1405-675-1683;736718
2898;1944;1004;858;2010_05_04 - M3BRG_MAS_40510406  M1;*15-838-41-805-68-722-118-799-168-745-218-927-268-927-318-1056-368-882-418-923-468-797-518-968-568-968-617-1236-667-1130-717-1150-768-924-818-1041-868-983-918-1307-968-1379-1018-1495-1069-1129-1119-1164-1169-1026-1218-1277-1268-1405-1293-1734-1319-1938;0
2899;1945;1524;1526;2010_06_14 - L2PLY_LLA_140610548  M1;*10-805-45-911-80-951-131-1071-183-963-232-902-282-761-332-738-382-682-432-727-482-750-532-901-582-1023-632-1341-682-1393-732-1250-782-950-832-874-883-754-932-772-982-771-1032-917-1082-1071-1114-1353-1146-1676;0
2900;1946;1527;1525;2018_11_07 - W1MRL_BRX_71118898;*15-828-49-875-83-832-133-1046-183-1005-233-1065-283-876-333-967-383-890-433-1130-483-1181-533-1322-584-1079-634-1097-684-952-733-1150-783-1183-833-1601-884-1461-934-1363-984-1066-1033-1181-1083-1171-1117-1502-1151-1816;737026
2901;1947;866;1401;2018_10_01 - L1PLY_NMS_11018775;*10-955-43-962-77-881-127-1046-178-1058-206-1205-234-1311;737061
2902;1948;1402;867;2010_05_04 - M3BRG_MAS_40510406  M1;*15-836-45-887-75-893-126-1198-178-1418-207-1522-236-1479;0
2903;1949;872;1433;2010_05_19 - W2PLD_MRL_190510452  M2;*10-752-31-707-53-650-103-783-153-897-170-1059-187-1257;0
2904;1950;1434;869;2020_14312;*15-953-41-930-68-865-118-841-169-706-218-747-268-717-318-883-369-939-419-1160-469-996-519-954-570-780-619-837-669-811-719-1067-769-1280-819-1482-869-1150-919-1040-969-848-1019-912-1069-919-1119-1311-1169-1663-1197-1991-1225-1887;17702944
2905;1951;870;1435;2019_08_06 - MBMRL_BEU_60819531;*10-976-44-879-78-779-128-728-179-663-229-705-279-735-329-903-379-1044-429-1358-479-1408-528-1263-578-1016-628-900-679-775-729-791-779-771-829-911-879-1044-910-1281-941-1595;737277
2906;1952;1528;1403;2019_13730;*10-1120-35-1028-60-973-108-952-156-884-205-926-255-924-304-1026-353-1074-402-1237-452-1276-502-1326-552-1199-602-1123-652-988-701-996-751-961-801-1076-851-1149-901-1386-951-1534-1001-1705-1051-1531-1101-1404-1152-1176-1202-1137-1253-1054-1303-1135-1353-1167-1403-1418-1453-1634-1476-1887-1499-2046;17696338
2907;1953;882;1185;2020_14654;*10-1047-34-983-58-1031-109-1237-160-1594-181-1859-203-2244;17705871
2908;1954;1470;2423;2021_14993;*21-1241-56-1143-91-989-141-826-191-753-238-743-285-723;17709592
2909;1954;2423;1470;2021_14828;*0-651-47-723-94-704-143-799-193-946-230-1124-267-1180;17707647
2910;1957;1394;472;2020_14292;*15-1257-36-1293-57-1322-107-1243-157-864-206-817-256-696-306-790-357-815-407-1060-457-1039-506-954-556-709-579-720-602-699;17702342
2911;1958;321;1167;2017_06_13 - MBVEN_BDX_130617662;*11-999-36-1041-61-1071-109-1060-157-916-207-854-257-739-307-719-357-705-407-790-457-849-509-1086-561-1264-581-1357-601-1430;736501
2912;1958;1167;321;2020_14295;*0-904-28-962-56-993-106-997-156-859-206-786-256-680-306-672-356-664-406-752-456-771-505-1021-555-1186-571-1278-588-1329;17702218
2913;1961;319;476;2020_14294;*10-765-33-702-57-665-107-718-158-722-208-941-258-942-308-949-358-770-408-779-458-701-508-882-558-980-576-1109-595-1227;17702217
2914;1961;476;319;2017_07_04 - MBPDP_PLD_40717700;*8-796-33-685-58-614-108-619-158-589-208-802-258-981-308-1147-358-827-408-762-458-597-508-739-559-848-575-1037-591-1168;736526
2915;1962;835;2174;2018_10_01 - L1PLY_NMS_11018775;*10-898-33-922-56-917-105-1029-154-923-204-930-254-807-304-890-354-871-404-1083-454-1129-504-1258-555-1076-604-1061-654-915-704-1032-754-1033-804-1293-854-1409-879-1496-905-1521;737061
2916;1963;2356;837;2021_14878;*8-766-30-729-53-650-103-679-153-599-203-722-253-731-302-921-352-840-402-828-452-665-502-766-552-749-601-996-651-1035-701-1076-751-815-801-840-851-758-900-974-950-1096-967-1246-984-1372;17708050
2917;1964;371;499;2010_06_04 - V1PLY_MTB_40610513  M2;*10-1278-51-1091-92-920-139-857-187-790-239-854-292-902-331-1089-370-1310;0
2918;1965;480;2428;2020_14008;*10-1694-51-1700-92-1540-142-1569-192-1400-242-1516-292-1484-342-1931-393-1949-442-2279-492-1988-542-1820-592-1527-642-1738-692-1845-742-2632-792-2320-842-2849-893-2228-942-1910-992-1622-1042-1907-1092-2177-1142-3017-1192-2490-1244-3169-1296-2076-1344-1790-1392-1587-1443-1888-1494-2308-1530-3045-1567-2748;17699170
2919;1966;2429;845;2021_14845;*6-1970-37-1985-68-1878-117-2243-167-1983-217-2107-267-1786-317-1970-367-1976-417-2237-467-2204-516-2585-566-2283-616-2287-667-2057-698-2459-*729-2875-748-2875-767-2778-779-2877-*791-2947-794-3096-*797-3193-807-3140-*817-3386-826-3195-*836-3239-851-3027-866-3065-867-3142-*869-3180-876-3065-*883-2997-889-3149-*896-3197-931-2818-966-2376-1016-2625-1066-2834-1078-3225-*1091-3634-1103-3786-1116-3811;17707401
2920;1967;487;484;2021_15297;*6-3297-18-3361-*30-3011-77-1884-*125-1346-137-2470-150-3547;17711769
2921;1968;497;873;2019_08_28 - W1CCN_MRL_280819584;*0-745-30-757-60-713-113-863-167-940-189-1092-212-1187;737299
2922;1969;446;875;2018_12_18 - M2MAR_MAC_181218007;*10-776-48-814-87-796-137-849-188-731-237-778-286-718-336-861-387-871-437-1015-487-902-536-914-586-790-636-899-687-897-737-1137-787-1139-837-1162-887-935-937-988-987-927-1037-1172-1088-1278-1137-1532-1187-1245-1237-1168-1287-981-1337-1143-1387-1207-1420-1617-1454-1828;737066
2923;1971;1442;966;2012_03_10 - VNCLV_MAC_9031203  M1;*15-1808-38-1700-61-1445-101-1445-*142-1179-144-700-146-480-152-868-*158-1174-160-963-*162-855-174-916-186-904;0
2924;1971;1442;30;2020_14654;*15-3129-17-2080-*19-1756-40-1663-61-1450-80-1426-*100-1447-103-1484-*106-1411-124-1340-*143-1004-144-1004-*146-1052-150-663-*155-867-158-951-161-1038-168-940-*176-1029-181-966-*187-1002-190-1203-*193-1362-227-1512-262-1569-285-1775-308-2053;17705871
2925;1972;885;887;V1MTB_PLY_11021149 M1;*10-1454-30-1610-51-1660-95-2145-*139-1709-145-1698-151-1421-153-1043-*155-1016-163-1224-*171-1378-174-1270-*177-1028-182-1166-*187-1309-190-1297-*193-1104-196-1167-*200-1269-202-1192-*205-944-208-976-*212-1086-215-1070-*218-979-225-1243-*233-1233-240-1318-248-1363-299-1657-351-1713-369-1916-388-2098;0
2926;1974;483;485;2019_09_10 - M2PLY_PLD_100919631;*12-1621-55-2120-*98-3260-114-3293-131-3264;737312
2927;1975;107;2421;2012_03_10 - VNCLV_MAC_9031203  M1;*0-966-13-1130-*26-900-47-953-*69-624-78-675-*87-649-93-858-*99-982-104-886-*109-964-136-1063-164-1038-214-1293-265-1506-283-1758-*301-1895-333-2175-366-1891-384-1823-*403-1498-409-1440-*416-1625-419-1075-*422-670-432-1240-*442-1019-452-1347-463-1005-474-1318-*485-1097-525-1585-566-1489-616-1882-666-1882-689-2105-713-2195;0
2928;1976;1461;2431;2021_15304;*14-917-44-857-74-790-123-832-173-783-223-929-274-979-323-1171-373-1063-423-1042-474-870-524-926-574-892-624-1116-674-1204-723-1403-773-1212-823-1159-873-954-923-1021-973-1010-1023-1298-1074-1489-1125-1662-1176-1329-1226-1260-1276-1053-1324-1166-1373-1182-1423-1648-1474-2006-1501-2142-1528-2005;17711678
2929;1977;2431;2432;2021_14828;*13-1074-47-1088-82-1016-131-986-181-871-230-856-280-800-330-861-380-891-430-1028-480-1111-529-1297-579-1319-629-1297-679-1109-729-1044-779-927-828-949-877-939-927-1071-977-1173-1027-1451-1077-1590-1126-1684-1176-1444-1226-1284-1276-1087-1326-1060-1376-1011-1425-1128-1475-1222-1528-1589-1582-1985-1614-2206-1646-2233;17707648
2930;1978;2433;1462;2010_08_09 - L2PLD_PLY_9081095  M1;*10-794-41-837-72-835-122-933-172-878-222-892-273-786-323-810-373-769-423-868-473-898-523-1062-573-1073-622-1120-672-984-722-958-773-844-823-905-873-840-923-1035-973-1177-1023-1404-1073-1330-1123-1265-1173-1028-1223-996-1273-913-1323-1037-1373-1117-1422-1488-1472-1713-1500-1827-1529-1747;0
2931;1979;2434;496;2021_14821;*15-785-38-820-62-793-111-908-160-904-210-970-260-893-310-905-360-830-410-896-460-888-510-1041-560-1081-610-1201-660-1105-710-1093-761-954-810-986-860-943-910-1069-960-1112-1010-1332-1060-1365-1110-1419-1160-1237-1210-1198-1260-1065-1310-1133-1360-1134-1410-1356-1460-1474-1510-1712-1560-1582-1610-1499-1660-1252-1710-1235-1760-1147-1810-1308-1860-1402-1911-1836-1962-2045-1987-2078-2012-2050;17707617
2932;1980;465;2435;2012_01_06 - VNPLD_LMS_60112386  M1;*10-848-37-842-64-791-113-879-162-786-212-891-262-812-312-947-362-892-410-1016-459-925-508-1029-558-934-607-1065-657-1010-706-1196-756-1118-806-1192-856-1074-906-1111-956-1019-1006-1221-1056-1152-1105-1363-1155-1179-1205-1237-1256-1130-1306-1286-1356-1336-1406-1694-1456-1598-1506-1597-1556-1290-1606-1424-1657-1360-1707-1761-1757-1851-1807-2047-1857-1589-1907-1580-1957-1393-2007-1713-2057-1846-2081-2167-2106-2463;0
2933;1980;2435;465;2021_15298;*10-861-38-828-66-763-116-852-166-746-216-860-266-820-316-974-366-914-416-1011-466-878-516-958-566-866-616-1035-666-1012-716-1175-766-1051-816-1099-866-922-916-1067-967-957-1016-1199-1066-1160-1116-1333-1166-1109-1216-1194-1266-1048-1316-1324-1366-1341-1415-1622-1465-1462-1514-1490-1564-1256-1613-1406-1663-1359-1711-1708-1760-1734-1809-1896-1859-1520-1909-1551-1959-1379-2008-1702-2057-1819-2080-2105-2104-2342;17711768
2934;1981;1464;2436;2010_08_10 - M2MAS_LMS_100810110  M1;*10-824-38-827-66-816-116-900-166-916-216-1019-266-1014-316-1065-366-995-416-1002-466-921-516-952-566-919-616-1004-666-1026-716-1166-766-1205-816-1306-866-1238-916-1223-966-1098-1016-1100-1066-1036-1116-1121-1166-1144-1216-1335-1266-1420-1316-1610-1366-1582-1416-1550-1466-1355-1516-1298-1566-1176-1616-1226-1666-1221-1716-1404-1766-1527-1816-1859-1866-1976-1916-2033-1966-1736-2016-1579-2067-1346-2117-1348-2167-1298-2216-1458-2266-1590-2316-2077-2366-2514-2391-2774-2417-2873;0
2935;1981;2436;1464;2021_14828;*17-897-43-902-70-889-117-980-165-998-214-1101-264-1094-314-1130-364-1039-414-1035-464-959-514-986-564-966-613-1061-663-1106-713-1260-763-1295-813-1376-863-1276-912-1245-962-1120-1012-1123-1062-1072-1111-1167-1161-1209-1211-1417-1261-1538-1311-1739-1361-1678-1410-1615-1460-1393-1510-1332-1560-1224-1610-1280-1660-1303-1709-1494-1759-1648-1809-2028-1859-2190-1908-2267-1958-1923-2008-1718-2058-1467-2108-1444-2158-1402-2207-1580-2257-1756-2306-2272-2356-2775-2385-2955-2414-3024;17707647
2936;1982;1465;2437;2021_14993;*13-787-40-791-68-803-116-871-165-831-215-841-265-764-315-789-365-758-415-845-466-865-515-994-565-998-615-1047-665-946-715-951-765-874-815-921-866-909-916-1049-966-1101-1015-1271-1065-1218-1115-1210-1165-1047-1215-1052-1265-980-1315-1099-1366-1155-1416-1423-1466-1517-1515-1606-1565-1374-1615-1271-1665-1096-1715-1147-1765-1144-1815-1399-1865-1605-1915-1908-1965-1861-2015-1771-2065-1447-2115-1411-2165-1294-2215-1467-2265-1570-2314-2072-2364-2407-2387-2574-2410-2571;17709591
2937;1982;2437;1465;2020_13951;*10-805-37-846-65-819-115-926-166-916-216-957-266-874-316-905-366-822-416-900-466-896-516-1022-566-1054-616-1149-666-1075-716-1114-766-1009-816-1075-866-1000-916-1117-966-1152-1016-1318-1066-1237-1116-1303-1166-1182-1216-1222-1266-1115-1316-1263-1366-1306-1416-1549-1466-1601-1516-1709-1566-1508-1616-1458-1666-1275-1716-1332-1766-1305-1816-1579-1866-1784-1916-2211-1966-2101-2016-1943-2066-1525-2116-1470-2166-1339-2216-1524-2266-1655-2315-2271-2365-2759-2391-2867-2417-2792;17698547
2938;1983;2436;2438;2017_06_12 - LBPLD_RES_120617656;*10-818-37-787-65-767-115-863-165-866-215-1012-265-942-315-981-365-868-415-918-466-856-515-1041-565-1013-615-1223-666-1128-716-1095-766-981-816-1029-866-1016-916-1218-966-1282-1017-1449-1068-1260-1117-1255-1166-1086-1216-1189-1266-1168-1316-1480-1367-1586-1416-1688-1466-1435-1516-1390-1567-1191-1617-1333-1667-1346-1717-1753-1768-1912-1817-1982-1867-1620-1917-1527-1967-1320-2017-1497-2067-1557-2117-2183-2167-2480-2191-2519-2216-2449;736508
2939;1983;2438;2436;2021_14828;*10-859-37-827-64-787-114-922-164-936-213-1080-263-996-313-1014-363-877-412-932-461-886-511-1058-562-1098-611-1271-661-1143-711-1137-761-962-810-1041-860-1017-910-1257-960-1329-1010-1525-1060-1319-1109-1272-1158-1073-1208-1163-1259-1147-1308-1458-1358-1615-1408-1818-1458-1485-1507-1408-1557-1173-1607-1291-1657-1300-1706-1749-1756-2052-1806-2173-1856-1646-1906-1511-1956-1270-2005-1428-2055-1521-2099-2132-*2144-2798-2149-2771-2155-2747-2181-2832-2207-2557;17707647
2940;1984;2437;2439;2021_14993;*10-751-37-760-64-710-114-839-164-780-213-872-263-783-313-882-364-822-414-966-464-904-513-1022-563-920-613-1012-663-910-713-1068-763-1023-813-1204-864-1087-913-1179-963-1036-1013-1160-1064-1076-1113-1305-1163-1280-1213-1470-1264-1270-1314-1352-1364-1186-1413-1402-1463-1398-1513-1736-1563-1612-1613-1659-1663-1374-1714-1535-1765-1457-1814-1874-1863-1947-1913-2177-1963-1704-2013-1735-2063-1512-2113-1862-2164-1989-2189-2329-2214-2562;17709591
2941;1984;2439;2437;2021_15298;*10-733-37-725-64-669-114-780-165-745-215-867-265-807-315-898-365-790-414-906-463-855-514-1023-565-941-614-1026-664-889-714-1022-765-955-814-1127-864-1079-914-1221-964-1065-1014-1185-1065-1069-1114-1258-1164-1215-1214-1432-1265-1273-1314-1346-1364-1172-1414-1386-1465-1348-1515-1665-1565-1537-1615-1576-1665-1300-1714-1483-1764-1356-1814-1788-1865-1839-1915-2087-1965-1693-2015-1692-2065-1516-2114-1821-2164-1908-2189-2243-2215-2560;17711768
